equipo_local,equipo_visitante,fecha,resultado_real,goles_local_real,goles_visitante_real,temporada,jornada,estadio,arbitro,asistencia,validacion_activa,tipo_partido,importancia,liga
Liverpool,Manchester City,2024-12-01,Visitante,1,2,2024-25,21,Anfield,Oliver M.,53456,1,Liga,Alta,Premier League
Real Madrid,Athletic Bilbao,2024-12-03,Local,3,1,2024-25,16,Santiago Bernabéu,García Fernández,79234,1,Liga,Media,La Liga
Barcelona,Villarreal,2024-12-05,Local,4,0,2024-25,17,Camp Nou,Hernández López,76543,1,Liga,Media,La Liga
Arsenal,Chelsea,2024-12-07,Empate,2,2,2024-25,22,Emirates Stadium,Taylor A.,59123,1,Liga,Alta,Premier League
Atlético Madrid,Real Betis,2024-12-09,Local,2,0,2024-25,18,Metropolitano,Martínez Ruiz,63789,1,Liga,Baja,La Liga
Manchester United,Tottenham,2024-12-11,Visitante,0,1,2024-25,23,Old Trafford,Dean M.,74567,1,Liga,Media,Premier League
Sevilla,Valencia,2024-12-13,Empate,1,1,2024-25,19,Ramón Sánchez Pizjuán,González Pérez,34567,1,Liga,Baja,La Liga
Newcastle,Brighton,2024-12-15,Local,3,0,2024-25,24,St. James Park,Attwell S.,49876,1,Liga,Baja,Premier League
Real Sociedad,Celta Vigo,2024-12-17,Local,2,1,2024-25,20,Anoeta,Rodríguez Silva,32456,1,Liga,Baja,La Liga
West Ham,Aston Villa,2024-12-19,Visitante,1,3,2024-25,25,London Stadium,Bankes P.,64321,1,Liga,Media,Premier League
Getafe,Las Palmas,2024-12-21,Local,1,0,2024-25,21,Coliseum Alfonso Pérez,López García,15234,1,Liga,Baja,La Liga
Crystal Palace,Wolves,2024-12-23,Empate,2,2,2024-25,26,Selhurst Park,Coote D.,25678,1,Liga,Baja,Premier League
Valencia,Espanyol,2024-12-26,Local,3,1,2024-25,22,Mestalla,Fernández Torres,38945,1,Liga,Baja,La Liga
Fulham,Brentford,2024-12-28,Visitante,1,2,2024-25,27,Craven Cottage,Hooper S.,24567,1,Liga,Baja,Premier League
Mallorca,Girona,2024-12-30,Empate,0,0,2024-25,23,Son Moix,Sánchez Martín,18345,1,Liga,Baja,La Liga
