equipo,temporada,mes,partidos_jugados,victorias,empates,derrotas,goles_favor,goles_contra,diferencia_goles,puntos,posicion_mes,rendimiento_casa,rendimiento_visitante,goles_promedio_favor,goles_promedio_contra,porcentaje_posesion,pases_totales,precision_pases,tiros_al_arco,conversion_gol,tarjetas_amarillas,tarjetas_rojas,faltas_cometidas,faltas_recibidas,corners_favor,corners_contra,fueras_juego,recuperaciones_balon,perdidas_balon,distancia_total_recorrida,intensidad_presion,xG_total,xGA_total,diferencia_xG,rating_defensivo,rating_ofensivo,rating_general,valor_plantilla_promedio,lesiones_mes,rendimiento_vs_top6,forma_ultimos_3,momentum_mensual
Real Madrid,2024-25,Agosto,4,3,1,0,9,3,6,10,1,4.5,2.8,2.25,0.75,62.3,2456,88.9,18,0.50,8,0,45,67,23,12,8,345,289,445.6,8.7,10.2,4.8,5.4,8.5,8.9,8.7,850.5,2,3.2,9,0.85
Real Madrid,2024-25,Septiembre,4,2,1,1,7,5,2,7,3,3.8,2.2,1.75,1.25,59.8,2234,87.2,16,0.44,12,1,52,58,19,18,12,312,298,432.1,8.2,8.9,7.2,1.7,8.1,8.3,8.2,845.2,1,2.8,6,0.72
Real Madrid,2024-25,Octubre,5,4,0,1,12,4,8,12,2,4.2,3.1,2.40,0.80,61.5,2789,89.1,22,0.55,9,0,41,72,28,15,6,398,267,523.4,8.9,12.8,5.9,6.9,8.7,9.1,8.9,852.1,0,3.5,11,0.88
Real Madrid,2024-25,Noviembre,4,3,1,0,8,2,6,10,1,4.1,3.2,2.00,0.50,63.1,2345,90.3,19,0.42,7,0,38,69,25,11,9,367,245,467.8,9.1,9.6,3.2,6.4,8.8,8.7,8.8,856.7,3,3.8,10,0.91
Barcelona,2024-25,Agosto,4,3,0,1,11,4,7,9,2,4.8,2.5,2.75,1.00,68.9,2678,91.2,21,0.52,6,0,34,78,31,14,5,389,234,456.7,9.3,12.1,5.8,6.3,8.2,9.3,8.8,780.2,1,3.1,9,0.82
Barcelona,2024-25,Septiembre,4,4,0,0,13,2,11,12,1,5.2,3.8,3.25,0.50,71.2,2834,92.5,24,0.54,4,0,29,82,34,8,3,412,198,489.3,9.7,14.8,2.9,11.9,8.9,9.8,9.4,785.6,0,4.2,12,0.95
Barcelona,2024-25,Octubre,5,3,1,1,9,6,3,10,3,3.9,2.8,1.80,1.20,66.4,2567,90.8,18,0.50,9,1,42,71,26,19,8,356,267,467.2,8.8,9.2,8.1,1.1,8.0,8.5,8.3,778.9,2,2.9,8,0.75
Barcelona,2024-25,Noviembre,4,3,1,0,10,3,7,10,2,4.3,3.1,2.50,0.75,69.5,2723,91.7,20,0.50,5,0,31,75,29,12,6,398,223,478.9,9.4,11.5,4.2,7.3,8.6,9.0,8.8,782.4,1,3.6,10,0.89
Atlético Madrid,2024-25,Agosto,4,2,2,0,6,3,3,8,4,3.2,2.1,1.50,0.75,54.2,1987,85.6,14,0.43,11,0,58,49,18,16,7,298,312,423.5,8.1,7.8,4.9,2.9,8.3,7.2,7.8,720.8,3,2.8,6,0.68
Atlético Madrid,2024-25,Septiembre,4,2,1,1,5,4,1,7,5,2.8,2.3,1.25,1.00,52.8,1876,84.2,12,0.42,14,1,63,45,15,18,9,287,329,412.8,7.9,6.9,6.2,0.7,8.1,6.8,7.5,718.3,2,2.5,5,0.62
Atlético Madrid,2024-25,Octubre,5,3,1,1,7,5,2,10,4,3.1,2.6,1.40,1.00,55.9,2134,86.1,16,0.44,10,0,54,52,19,15,8,325,298,445.7,8.3,8.2,7.1,1.1,8.2,7.4,7.8,722.1,1,2.9,7,0.71
Atlético Madrid,2024-25,Noviembre,4,1,2,1,4,6,-2,5,8,2.4,1.8,1.00,1.50,51.3,1798,83.7,11,0.36,16,2,67,41,14,21,11,276,345,398.2,7.6,6.1,8.9,-2.8,7.8,6.2,7.0,719.7,4,2.1,3,0.45
Sevilla,2024-25,Agosto,4,1,2,1,4,5,-1,5,8,2.8,1.9,1.00,1.25,49.7,1756,82.1,10,0.40,13,1,61,43,12,19,10,267,334,389.4,7.4,5.8,7.3,-1.5,7.6,6.1,6.9,420.3,2,1.8,4,0.52
Sevilla,2024-25,Septiembre,4,2,0,2,6,7,-1,6,7,3.1,1.7,1.50,1.75,47.3,1634,80.8,12,0.50,15,0,68,39,11,22,12,251,356,376.8,7.1,7.2,9.1,-1.9,7.4,6.5,6.9,418.7,3,1.9,6,0.58
Sevilla,2024-25,Octubre,5,1,1,3,5,9,-4,4,12,2.2,1.6,1.00,1.80,45.8,1598,79.9,9,0.56,18,2,74,35,9,25,14,234,389,356.2,6.8,6.1,11.2,-5.1,7.1,5.8,6.4,416.1,4,1.5,3,0.42
Sevilla,2024-25,Noviembre,4,1,1,2,3,6,-3,4,11,2.1,1.5,0.75,1.50,44.2,1467,78.6,8,0.38,16,1,69,32,8,23,13,223,378,342.9,6.5,4.9,8.7,-3.8,6.9,5.2,6.1,414.8,2,1.4,3,0.38
Manchester City,2024-25,Agosto,4,4,0,0,14,2,12,12,1,5.8,3.2,3.50,0.50,71.4,2934,93.2,26,0.54,3,0,23,87,36,7,2,435,189,512.3,9.8,16.2,2.8,13.4,9.2,9.9,9.6,920.7,0,4.5,12,0.98
Manchester City,2024-25,Septiembre,4,3,1,0,11,3,8,10,2,4.9,3.1,2.75,0.75,69.8,2812,92.7,23,0.48,5,0,28,81,32,11,4,412,203,489.7,9.5,13.8,4.1,9.7,9.0,9.4,9.2,925.3,1,3.8,10,0.89
Manchester City,2024-25,Octubre,5,4,0,1,13,5,8,12,1,5.1,3.4,2.60,1.00,70.9,2897,93.0,24,0.54,4,0,25,84,34,9,3,428,198,501.8,9.7,15.1,6.2,8.9,9.1,9.6,9.4,928.1,2,4.1,11,0.92
Manchester City,2024-25,Noviembre,4,3,0,1,10,4,6,9,3,4.4,2.8,2.50,1.00,68.7,2756,92.1,21,0.48,6,0,31,78,29,13,5,398,218,478.3,9.2,12.4,5.8,6.6,8.8,9.1,8.9,923.5,1,3.7,9,0.85
